"","OBJECTID","MUID","SEQN","SNAM","S5ID","CMPPCT","NLAYERS","HYDGRP","SOL_ZMX","ANION_EXCL","SOL_CRK","TEXTURE","SOL_Z1","SOL_BD1","SOL_AWC1","SOL_K1","SOL_CBN1","CLAY1","SILT1","SAND1","ROCK1","SOL_ALB1","USLE_K1","SOL_EC1","SOL_CAL1","SOL_PH1","SOL_Z2","SOL_BD2","SOL_AWC2","SOL_K2","SOL_CBN2","CLAY2","SILT2","SAND2","ROCK2","SOL_ALB2","USLE_K2","SOL_EC2","SOL_CAL2","SOL_PH2","SOL_Z3","SOL_BD3","SOL_AWC3","SOL_K3","SOL_CBN3","CLAY3","SILT3","SAND3","ROCK3","SOL_ALB3","USLE_K3","SOL_EC3","SOL_CAL3","SOL_PH3","SOL_Z4","SOL_BD4","SOL_AWC4","SOL_K4","SOL_CBN4","CLAY4","SILT4","SAND4","ROCK4","SOL_ALB4","USLE_K4","SOL_EC4","SOL_CAL4","SOL_PH4","SOL_Z5","SOL_BD5","SOL_AWC5","SOL_K5","SOL_CBN5","CLAY5","SILT5","SAND5","ROCK5","SOL_ALB5","USLE_K5","SOL_EC5","SOL_CAL5","SOL_PH5"
"52",52,"",1,"SOIL_0053","",1,4,"",100,0.5,0.5,"",5,1.35768074956303,0.183241204353622,5.97639451454731,4.95053797468354,32.425,35.3844936708861,32.1905063291139,0,0.152034618612698,0.232093688467475,0,0,0,15,1.47767063998658,0.180049346068305,2.75269680237976,3.42917721518987,33.5667721518987,35.0911392405063,31.3420886075949,0,0.154003550758505,0.231959888632427,0,0,0,30,1.64246570870392,0.175851682643368,42.408692431645,2.0048417721519,37.6386075949367,33.351582278481,29.0060126582278,0,0.152580215569941,0.232949799292108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",53,"",1,"SOIL_0054","",1,4,"",100,0.5,0.5,"",5,1.37785105537766,0.1867979768733,11.4483749873011,5.08526417370326,35.6485162846803,33.5113148371532,30.8410373944511,0,0.151985055834538,0.227795459691452,0,0,0,15,1.46471564417022,0.189511497788643,6.98570192002922,3.95109288299156,36.5677683956574,33.0040530759952,30.4277201447527,0,0.153037545747115,0.226687460845532,0,0,0,30,1.63884238344533,0.172997977583264,38.2179056556669,2.29044632086852,40.4209408926417,31.34,28.2385283474065,0,0.152504664659836,0.225348456439948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",54,"",1,"SOIL_0055","",1,4,"",100,0.5,0.5,"",5,1.39751555331577,0.190793899170773,3.28742987505557,4.4442685851319,33.034412470024,32.2333333333333,34.7323741007194,0,0.152935434708822,0.221054624260973,0,0,0,15,1.51885578978182,0.180772159942806,4.01957736524442,3.01165467625899,34.3407673860911,31.8971223021583,33.7616306954436,0,0.154220592468162,0.220914741911721,0,0,0,30,1.66876742958984,0.165955555404794,38.2155657517536,1.87237410071942,39.0068345323741,30.1101918465228,30.8838129496403,0,0.152841499433862,0.223683829794688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",55,"",1,"SOIL_0056","",1,4,"",100,0.5,0.5,"",5,1.34463126356352,0.191599983710177,5.93942938892188,5.41919913419913,34.3376623376623,30.9818181818182,34.6798701298701,0,0.151843708230351,0.217391556434725,0,0,0,15,1.44761193775983,0.196588388011395,3.76566111330004,3.9917316017316,35.0004329004329,30.8703463203463,34.1305194805195,0,0.153344379119045,0.217468127427085,0,0,0,30,1.60982704483125,0.17050002820369,5.72451349963089,2.43805194805195,38.7651515151515,29.1019480519481,32.1337662337662,0,0.153183249322879,0.2146449297105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",56,"",1,"SOIL_0057","",1,4,"",100,0.5,0.5,"",5,1.35049960783864,0.190184224697194,16.8520913299247,5.59238095238095,36.1952380952381,35.3904761904762,28.4142857142857,0,0.15175054975956,0.235262837258581,0,0,0,15,1.42159930565452,0.179882206167787,7.42124413314863,4.62857142857143,37.1238095238095,35.0952380952381,27.7809523809524,0,0.152209528420245,0.235006634493915,0,0,0,30,1.61566973294811,0.165412781997471,8.0335384399184,2.73809523809524,42.4619047619048,32.5142857142857,25.0047619047619,0,0.152543511722153,0.230789714882625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",57,"",1,"SOIL_0058","",1,4,"",100,0.5,0.5,"",5,1.35637813943911,0.188324279558312,6.38662905420741,5.34405124099279,35.1137710168135,31.4116893514812,33.4752602081665,0,0.15182032227049,0.219560038685607,0,0,0,15,1.48123180901397,0.179926294540274,3.76286330226601,3.68694955964772,36.1948759007206,30.9770216172938,32.8279423538831,0,0.153543759363931,0.218794160603716,0,0,0,30,1.64440965153878,0.165627298170788,35.4792150730524,2.21729383506805,40.2436349079263,29.4370696557246,30.3188951160929,0,0.152872643852015,0.21818956331546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",58,"",1,"SOIL_0059","",1,4,"",100,0.5,0.5,"",5,1.41608399793107,0.182876515848824,13.6484377261263,4.86766666666667,38.3033333333333,34.4,27.2866666666667,0,0.152042099821925,0.233512948829937,0,0,0,15,1.51398556214311,0.17518230966666,8.80912807389839,3.571,38.84,34.4833333333333,26.6633333333333,0,0.152993378342695,0.234371079535386,0,0,0,30,1.69548746066668,0.182885703872659,12.3187699990518,2.091,44.5133333333333,30.86,24.6233333333333,0,0.153118914672298,0.229054010672713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",59,"",1,"SOIL_0060","",1,4,"",100,0.5,0.5,"",5,1.34065925157145,0.181492439031934,11.3735850183158,5.94540925266904,37.502846975089,33.2893238434164,29.2056939501779,0,0.151608117052671,0.228572143318302,0,0,0,15,1.41703284685471,0.186015155294203,11.2446183760237,4.87754448398577,38.4818505338078,33.1665480427046,28.3537366548043,0,0.152102222332319,0.228989058087148,0,0,0,30,1.60845012686657,0.174557012124114,13.2490685266022,2.83355871886121,42.5939501779359,31.0565836298932,26.3459074733096,0,0.152504111742719,0.225097176280097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",60,"",1,"SOIL_0061","",1,4,"",100,0.5,0.5,"",5,1.31594289261721,0.181718648462086,6.77543006620278,6.42744525547445,37.9226277372263,27.5715328467153,34.5051094890511,0,0.151788697846208,0.207241163502648,0,0,0,15,1.42711002898773,0.189382623880648,3.57873121886123,4.69394160583942,38.2306569343066,27.6576642335766,34.1131386861314,0,0.152627797676867,0.207799709452971,0,0,0,30,1.60672315223668,0.181219602673608,3.14419130915865,2.68313868613139,40.9226277372263,26.4576642335766,32.6189781021898,0,0.153205811190405,0.205672519571996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",61,"",1,"SOIL_0062","",1,4,"",100,0.5,0.5,"",5,1.37975995962756,0.181334367708064,7.13671433437525,5.50657142857143,38.8514285714286,30.46,30.6857142857143,0,0.151713966591179,0.219023806036314,0,0,0,15,1.48597951060642,0.183721316583258,5.6872531256472,3.98571428571429,39.2142857142857,30.0542857142857,30.7285714285714,0,0.15279407592507,0.217790496777226,0,0,0,30,1.57770992604035,0.184010506686312,11.5226483860547,3.14514285714286,42.1228571428571,28.8685714285714,29.0057142857143,0,0.152889708529204,0.215888083039625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
